//Key	中文
	//Translator Info 此处输入翻译者信息 使用\r\n表示换行符，\t表示跳格字符
miStop	&P.停止
miHelp	&H.帮助
miViewHTTPMeanings	&V.查看HTTP响应码含义…
miAbout	&A.关于
miCopyThisLineURL	&L.复制本行URL
miBrowseURL	浏览该网址
miCopyAll	&A.复制所有
miClearTable	&T.清除表格

SensFileScanner	敏感文件扫描器
Ext:	扩展名:
ScanAllLevels	扫描所有层级
IfFileExistsScanLong:	如果文件存在，则继续扫描下列文件:
IfRespCodeInListLong:	如果响应码在以下列文本中，则添加链接到列表:
ViewHTTPCode	查看HTTP响应码含义
URL:	URL:
PathDict:	路径字典：
FilenameDict:	文件名字典：
RefreshDictList	刷新字典列表
Ext:	扩展名:
ScanAllLevels	扫描所有层级
Caution:SelectProperDicts	*** 注意，扫描前请务必选择合适的字典！默认的字典分别是：AdminPaths 和 AdminPages。 ***
Use404Page	使用自定义404页面
KeywordsIn404Page:	404页面关键字：
IntervalBetweenEveryRequest:	每次请求的时间间隔（毫秒）：
MaxThreads:	最大线程数：
StartScan	开始扫描
Stop	停止
CopyAll	复制所有
ClearTable	清除表格


//Encode SQL as Declare_Exec UI:	
EncSqlAsDec_Exec	将SQL编码为 Declare _ Exec 的形式

//Request Relay	UI:
RequestRelay	请求转发器
Port:	端口:
StartSVC	启动服务
StopSvc	停止服务
HttpHead:	HTTP请求头:
TipPressF5ToInsVar.	【提示】按下F5键可以快速插入__sql__变量。
PostData:	提交数据:


//Config SQL Serve Transfer UI:	
CfgMyTransfer	设置我的SQLServer转发服务器
WanIP:	外网IP:
LanIP:	内网IP:
TestLan	测试本地连接
TestWan	测试远程连接
TestRmtConnInWeb...	在网页中测试远程连接...

//IP reverse lookup UI:	
IpDnsRvsLookup	探测同服务器网站
IpDomainName:	IP/主机名:
GetIP	获取IP
Add...	添加...
Lookup...	查询...
Close	关闭

//Program Settings UI:	
ProgSettings	程序设置

ScanVuln.	扫描漏洞
AutoRplcSQL	自动替换SQL
Languages	语言

MaxScanningThreads:	扫描时最大线程数:
SkipTimeout:	响应时间超过此值则跳过(秒):

UseKW	使用自动探测的关键字
UseContentLen	使用内容长度阈值
Threshold:	阈值:

GetHead	当找到漏洞后获取服务器头标信息
GetAlexa	当找到漏洞后获取Alexa排行
Scan0ByteLink	扫描内容长度为空的链接

EnableReplace	启用替换
RplcAfterURLEnc	URL编码后再进行替换
DelSelected	删除选择的
ClearAll	删除所有
Replace	替换
As	为
Add	添加

LangList:	语言列表:
Preview:	预览:
RefreshList	刷新列表
Apply	应用

//Show paragraph text UI:	
Tip:DblClickToClr	【提示】双击以清空文本。

//Ordinal file scanner UI:	
OrdFileScanner	序列文件扫描器
PlzInputURLWithVar:	请输入带有变量(##i##)的URL地址，如下:
RplcSelAsVar	将选择文本替换成变量
VarSettings	变量设置
Start:	开始:
End:	结束:
Incr.:	递增:
Chars:	字符数
FillWith:	填充字符:

//Setup engines for looking up md5 UI	
SetEngForLookupMD5	设置MD5查询引擎
EngineList	引擎列表
Title:	标题:
RequestHead:	请求头:
PostData:	POST数据:
DelHilited	删除高亮的
AddOrMod	添加或修改

//Registration UI:	
Registration	注册
UrRegCodeIs:	您的注册码是:

//The Looper UI:	
TheLooper	自动循环机
//The Looper > menu	
miModHttpReq	&M.修改HTTP请求
miFillByURL...	&U.根据URL填充请求头...
miFillWithGet	&G.使用标准Get请求填充
miFillWithPost	&P.使用标准POST请求填充
miMethod	&M.方法

miCodes	&C.代码
miGetDBType	&G.获取数据库类型

miInsertVars	&I.插入变量

miEncode	&E.编码
miSqlKeywordsRand	&R.SQL关键字大小写随机化
miUrlEnc	&U.URL编码
miUrlDec	&D.URL解码
miEncAsVChar	&V.编码为SQL Varchar
miEncAsNVChar	&N.编码为SQL NVarchar

miFndReplace	&F.查找替换

miSave	&S.保存
miSaveAs	&A.另存为...
miAutoSave	&T.每20秒自动保存

//The Looper> Tab	
LoopVars	循环变量
Dict	字典
PageVars	页面变量
Filter	过滤器
Keyword	关键字
ResponseCode	响应码

//The Looper> Tabs	
UseVarI	使用变量__i__
UseVarJ	使用变量__j__
Min	最小值
Max	最大值
Step	步长

UseDict1	使用字典1(__dict1__)
UseDict2	使用字典2(__dict2__)
Edit...	编辑...
ReloadDicts	重新加载字典列表

UsePV1	使用页面变量1(__pv1__)
UsePV2	使用页面变量2(__pv2__)

EnableTextFilter	启用文本过滤器

OutputVars	输出变量
OutPutVarsWhenNotContains	当返回页面源码不包含以下文本时输出变量
Counter	反之

OutputVarsWhenRespCodeIn	当响应码位于以下列表时输出变量

//controls	
Sleep	暂停
MsBetweenRequests	毫秒在每次请求之间
Output	输出
PageSource	页面源码

AutoSave	自动保存

LoopBody	循环体
Encode	编码
Decode	解码
Run	运行!

//Version 2.6 Added ===========================================================	
//The Looer UI:	
miProject	&P.项目
miLoad...	&L.打开...

//The Looper Code:	
LooperPrjFilter	循环机工程文件(*.looper)|*.looper|所有文件(*.*)|*.*
FailedSaveFile:	保存文件失败:
OpenFileFailure:	打开文件失败:
FileFmtIncorrect.	文件格式不正确。

//Exploit Vulnerability UI:	
SqlCapital:	SQL语句大小写:
DontCare	不处理
RndCase	随机大小写
LowerCase	小写
UpperCase	大写

FeatureDisabled.	此功能已被禁用。

//Version 2.7 Added ==========================================================	
//Set SQL Server Transfer UI:	
TestLANConn	正在测试本地数据库连接，请等待……
TestWANConn	正在测试远程数据库连接，请等待……
	
//Program Settings Window	//程序设置窗口
UseXORScan	使用XOR进行深入扫描漏洞。
GetDBTypeWhenScanning	在扫描时探测数据库类型。
OnlyShowMySQLVersionGE5	仅显示MySQL数据库版本大于等于5.0的注入点。
VulnNotAddedBecauseVersionTooOld	【注意】因为版本太低，注入点没有加入到列表：
miModifyMemo	&M.修改备注
PlzInputMemo	请输入备注
	
//Data Seperator Window	//数据分拣器窗口
DataSeperator	数据分拣器
miDataSeperator	&D.数据分拣器…
srcDataFile	源数据文件：
srcColumnDelimiter	源数据文件列分隔符：
extractLinesWhich	提取行，如果其第几列：
columnContains	包含关键字：
targetColumnDelimiter	目标数据文件列分隔符：
exportColumns	输出列序：
exportColumnsTip	输入要导出的列的编号，使用英文的逗号分隔，列编号的次序将影响最终输出的数据的列的次序。
start	开始
stop	停止
PlzSelectSrcFile	请选择源数据文件。
MustInputSrcClmnDelimiter	必须指定源数据列分隔符。
MustInputDstClmnDelimiter	必须指定目标数据列分隔符。
MustInputKeyword	必须输入要包含的关键字。
MustInputExpColumns	必须要指定输出的列和列序。
FileIOError	文件读写失败。
PlzWaitAllThreadsExit.	请等待所有扫描线程结束。
PlzInputLinks1link1line	请输入待扫描的地址，每行一条：
	
//程序设置界面	
Insert	插入
CheckAll	勾选所有
CheckInvert	反勾选所有
SQLReplaceTip	双击项目可以使与之相邻的同一组的项目的选中状态变得与其一致。
	
//工具菜单	
ChinaChopper	中国菜刀
